pid,product_name,cid,product_desc,base_price,has_flavor,enable_hot,enable_cold,enable_large,avail_sugar_level,avail_ice_level,topping_blacklist,free_topping_quantity,ice_cream_container,tags
1,Yuzu Orange,1,null,6.75,0,0,1,0,null,null,null,0,null,null
2,Pink Lady Grapefruit,1,null,6.75,0,0,1,0,null,null,null,0,null,null
3,Orange Flow,1,null,6.75,0,0,1,0,null,null,null,0,null,null
4,Osmanthus Pear Tea,1,null,6.95,0,0,1,0,null,null,null,0,null,null
5,Key Lime Green Tea,1,null,6.75,0,0,1,0,null,null,null,0,null,null
6,Watermelon Splash (Seasonal),1,null,6.75,0,0,1,0,null,null,null,0,null,null
7,Pineapple Grapefruit,1,null,7.25,0,0,1,0,null,null,null,0,null,null
8,Super Citrus Fruit Tea,1,null,7.25,0,0,1,0,null,null,null,0,null,null
9,Peach on the Beach (Seasonal),1,null,7.45,0,0,1,0,null,null,null,0,null,null
10,Green Grape Flash Brew,1,null,7.25,0,0,1,1,null,null,null,0,null,null
11,Earl Grey Cheese Tea,2,null,5.45,0,0,1,1,null,null,null,0,null,null
12,Green Cheese Tea,2,null,5.45,0,0,1,1,null,null,null,0,null,null
13,Black Cheese Tea,2,null,5.45,0,0,1,1,null,null,null,0,null,null
14,Oolong Cheese Tea,2,null,5.45,0,0,1,1,null,null,null,0,null,null
15,Jasmine Cheese Tea,2,null,5.45,0,0,1,1,null,null,null,0,null,null
16,Peach Oolong Cheese Tea,2,null,5.45,0,0,1,1,null,null,null,0,null,null
17,Milk Cheese Tea,2,null,5.95,0,0,1,1,null,null,null,0,null,null
18,Matcha Cheese Tea,2,null,5.95,0,0,1,1,null,null,null,0,null,null
19,Caramel Brulee Cheese Tea,2,null,6.15,0,0,1,1,null,null,null,0,null,null
20,Strawberry Cheese Tea,3,null,6.95,0,0,1,0,null,null,null,0,null,null
21,Mango Cheese Tea,3,null,6.95,0,0,1,0,null,null,null,0,null,null
22,Grape Cheese Tea,3,null,6.95,0,0,1,0,null,null,null,0,null,null
23,Pina Colada Cheese Tea (Seasonal),3,null,6.95,0,0,1,0,null,null,null,0,null,null
24,Peach Cheese Tea (Seasonal),3,null,7.45,0,0,1,0,null,null,null,0,null,null
